Date,City,Type,Count
3/10/2020,Lahore,PM 2.5,101
3/11/2020,Lahore,PM 2.5,180
3/12/2020,Lahore,PM 2.5,143
3/13/2020,Lahore,PM 2.5,69
3/14/2020,Lahore,PM 2.5,91
3/15/2020,Lahore,PM 2.5,147
3/16/2020,Lahore,PM 2.5,174
3/17/2020,Lahore,PM 2.5,170
3/18/2020,Lahore,PM 2.5,166
3/19/2020,Lahore,PM 2.5,168
3/20/2020,Lahore,PM 2.5,195
3/21/2020,Lahore,PM 2.5,217
3/22/2020,Lahore,PM 2.5,151
3/23/2020,Lahore,PM 2.5,215
3/24/2020,Lahore,PM 2.5,130
3/25/2020,Lahore,PM 2.5,122
3/26/2020,Lahore,PM 2.5,88
3/27/2020,Lahore,PM 2.5,97
3/28/2020,Lahore,PM 2.5,51
3/29/2020,Lahore,PM 2.5,62
3/30/2020,Lahore,PM 2.5,98
3/31/2020,Lahore,PM 2.5,101
4/1/2020,Lahore,PM 2.5,100
4/2/2020,Lahore,PM 2.5,73
4/3/2020,Lahore,PM 2.5,54
4/4/2020,Lahore,PM 2.5,96
4/5/2020,Lahore,PM 2.5,108
4/6/2020,Lahore,PM 2.5,126
4/7/2020,Lahore,PM 2.5,58
4/8/2020,Lahore,PM 2.5,68
4/9/2020,Lahore,PM 2.5,70
4/10/2020,Lahore,PM 2.5,120
4/11/2020,Lahore,PM 2.5,87
4/12/2020,Lahore,PM 2.5,88
4/13/2020,Lahore,PM 2.5,111
4/14/2020,Lahore,PM 2.5,144
4/15/2020,Lahore,PM 2.5,129
4/16/2020,Lahore,PM 2.5,137
4/17/2020,Lahore,PM 2.5,106
4/18/2020,Lahore,PM 2.5,101
4/19/2020,Lahore,PM 2.5,56
4/20/2020,Lahore,PM 2.5,96
5/24/2019,Karachi,PM 2.5,112
5/25/2019,Karachi,PM 2.5,124
5/26/2019,Karachi,PM 2.5,127
5/27/2019,Karachi,PM 2.5,119
5/28/2019,Karachi,PM 2.5,93
5/29/2019,Karachi,PM 2.5,89
5/30/2019,Karachi,PM 2.5,77
5/31/2019,Karachi,PM 2.5,84
6/1/2019,Karachi,PM 2.5,100
6/2/2019,Karachi,PM 2.5,78
6/3/2019,Karachi,PM 2.5,72
6/4/2019,Karachi,PM 2.5,65
6/5/2019,Karachi,PM 2.5,66
6/6/2019,Karachi,PM 2.5,62
6/7/2019,Karachi,PM 2.5,62
6/8/2019,Karachi,PM 2.5,63
6/9/2019,Karachi,PM 2.5,61
6/10/2019,Karachi,PM 2.5,62
6/11/2019,Karachi,PM 2.5,67
6/12/2019,Karachi,PM 2.5,76
6/13/2019,Karachi,PM 2.5,112
6/14/2019,Karachi,PM 2.5,127
6/15/2019,Karachi,PM 2.5,113
6/16/2019,Karachi,PM 2.5,101
6/17/2019,Karachi,PM 2.5,85
6/18/2019,Karachi,PM 2.5,73
6/19/2019,Karachi,PM 2.5,83
6/20/2019,Karachi,PM 2.5,99
6/21/2019,Karachi,PM 2.5,90
6/22/2019,Karachi,PM 2.5,102
6/23/2019,Karachi,PM 2.5,133
6/24/2019,Karachi,PM 2.5,116
6/25/2019,Karachi,PM 2.5,118
6/26/2019,Karachi,PM 2.5,95
6/27/2019,Karachi,PM 2.5,82
6/28/2019,Karachi,PM 2.5,79
6/29/2019,Karachi,PM 2.5,88
6/30/2019,Karachi,PM 2.5,91
7/1/2019,Karachi,PM 2.5,93
7/2/2019,Karachi,PM 2.5,88
7/3/2019,Karachi,PM 2.5,94
7/4/2019,Karachi,PM 2.5,90
7/5/2019,Karachi,PM 2.5,94
7/6/2019,Karachi,PM 2.5,98
7/7/2019,Karachi,PM 2.5,101
7/8/2019,Karachi,PM 2.5,103
7/9/2019,Karachi,PM 2.5,111
7/10/2019,Karachi,PM 2.5,113
7/11/2019,Karachi,PM 2.5,95
7/12/2019,Karachi,PM 2.5,97
7/13/2019,Karachi,PM 2.5,98
7/14/2019,Karachi,PM 2.5,89
7/15/2019,Karachi,PM 2.5,81
7/16/2019,Karachi,PM 2.5,90
7/17/2019,Karachi,PM 2.5,87
7/18/2019,Karachi,PM 2.5,91
7/19/2019,Karachi,PM 2.5,90
7/20/2019,Karachi,PM 2.5,87
7/21/2019,Karachi,PM 2.5,88
7/22/2019,Karachi,PM 2.5,82
7/23/2019,Karachi,PM 2.5,83
7/24/2019,Karachi,PM 2.5,80
7/25/2019,Karachi,PM 2.5,75
7/26/2019,Karachi,PM 2.5,81
7/27/2019,Karachi,PM 2.5,101
7/28/2019,Karachi,PM 2.5,90
7/29/2019,Karachi,PM 2.5,82
7/30/2019,Karachi,PM 2.5,73
7/31/2019,Karachi,PM 2.5,72
8/1/2019,Karachi,PM 2.5,75
8/2/2019,Karachi,PM 2.5,84
8/3/2019,Karachi,PM 2.5,91
8/4/2019,Karachi,PM 2.5,88
8/5/2019,Karachi,PM 2.5,87
8/6/2019,Karachi,PM 2.5,89
8/7/2019,Karachi,PM 2.5,96
8/8/2019,Karachi,PM 2.5,103
8/9/2019,Karachi,PM 2.5,114
8/10/2019,Karachi,PM 2.5,120
8/11/2019,Karachi,PM 2.5,101
8/12/2019,Karachi,PM 2.5,62
8/13/2019,Karachi,PM 2.5,55
8/14/2019,Karachi,PM 2.5,82
8/15/2019,Karachi,PM 2.5,50
8/16/2019,Karachi,PM 2.5,56
8/17/2019,Karachi,PM 2.5,63
8/18/2019,Karachi,PM 2.5,55
8/19/2019,Karachi,PM 2.5,58
8/20/2019,Karachi,PM 2.5,64
8/21/2019,Karachi,PM 2.5,65
8/22/2019,Karachi,PM 2.5,73
8/23/2019,Karachi,PM 2.5,69
8/24/2019,Karachi,PM 2.5,79
8/25/2019,Karachi,PM 2.5,78
8/26/2019,Karachi,PM 2.5,86
8/27/2019,Karachi,PM 2.5,90
8/28/2019,Karachi,PM 2.5,85
8/29/2019,Karachi,PM 2.5,91
8/30/2019,Karachi,PM 2.5,89
8/31/2019,Karachi,PM 2.5,118
9/1/2019,Karachi,PM 2.5,107
9/2/2019,Karachi,PM 2.5,78
9/3/2019,Karachi,PM 2.5,82
9/4/2019,Karachi,PM 2.5,81
9/5/2019,Karachi,PM 2.5,77
9/6/2019,Karachi,PM 2.5,79
9/7/2019,Karachi,PM 2.5,85
9/8/2019,Karachi,PM 2.5,86
9/9/2019,Karachi,PM 2.5,88
9/10/2019,Karachi,PM 2.5,81
9/11/2019,Karachi,PM 2.5,76
9/12/2019,Karachi,PM 2.5,87
9/13/2019,Karachi,PM 2.5,81
9/14/2019,Karachi,PM 2.5,77
9/15/2019,Karachi,PM 2.5,71
9/16/2019,Karachi,PM 2.5,69
9/17/2019,Karachi,PM 2.5,68
9/18/2019,Karachi,PM 2.5,78
9/19/2019,Karachi,PM 2.5,96
9/20/2019,Karachi,PM 2.5,99
9/21/2019,Karachi,PM 2.5,100
9/22/2019,Karachi,PM 2.5,131
9/23/2019,Karachi,PM 2.5,136
9/24/2019,Karachi,PM 2.5,118
9/25/2019,Karachi,PM 2.5,79
9/26/2019,Karachi,PM 2.5,91
9/27/2019,Karachi,PM 2.5,139
9/28/2019,Karachi,PM 2.5,119
9/29/2019,Karachi,PM 2.5,134
9/30/2019,Karachi,PM 2.5,73
10/1/2019,Karachi,PM 2.5,95
10/2/2019,Karachi,PM 2.5,63
10/3/2019,Karachi,PM 2.5,66
10/4/2019,Karachi,PM 2.5,70
10/5/2019,Karachi,PM 2.5,79
10/6/2019,Karachi,PM 2.5,91
10/7/2019,Karachi,PM 2.5,79
10/8/2019,Karachi,PM 2.5,84
10/9/2019,Karachi,PM 2.5,114
10/10/2019,Karachi,PM 2.5,103
10/11/2019,Karachi,PM 2.5,87
10/12/2019,Karachi,PM 2.5,104
10/13/2019,Karachi,PM 2.5,99
10/14/2019,Karachi,PM 2.5,106
10/15/2019,Karachi,PM 2.5,91
10/16/2019,Karachi,PM 2.5,101
10/17/2019,Karachi,PM 2.5,121
10/18/2019,Karachi,PM 2.5,102
10/19/2019,Karachi,PM 2.5,118
10/20/2019,Karachi,PM 2.5,156
10/21/2019,Karachi,PM 2.5,148
10/22/2019,Karachi,PM 2.5,169
10/23/2019,Karachi,PM 2.5,155
10/24/2019,Karachi,PM 2.5,118
10/25/2019,Karachi,PM 2.5,145
10/26/2019,Karachi,PM 2.5,161
10/27/2019,Karachi,PM 2.5,161
10/28/2019,Karachi,PM 2.5,156
10/29/2019,Karachi,PM 2.5,144
10/30/2019,Karachi,PM 2.5,146
10/31/2019,Karachi,PM 2.5,122
